text,language,cefr,meanings,tags
"a, an",en,A1,,indefinite article
about,en,A1,,"prep., adv."
above,en,A1,,"prep., adv."
across,en,A1,,"prep., adv."
action,en,A1,,n.
activity,en,A1,,n.
actor,en,A1,,n.
actress,en,A1,,n.
add,en,A1,,v.
address,en,A1,,n.
adult,en,A1,,n.
advice,en,A1,,n.
afraid,en,A1,,adj.
after,en,A1,,prep.
afternoon,en,A1,,n.
again,en,A1,,adv.
age,en,A1,,n.
ago,en,A1,,adv.
agree,en,A1,,v.
air,en,A1,,n.
airport,en,A1,,n.
all,en,A1,,"det., pron."
also,en,A1,,adv.
always,en,A1,,adv.
amazing,en,A1,,adj.
and,en,A1,,conj.
angry,en,A1,,adj.
animal,en,A1,,n.
another,en,A1,,det./pron.
answer,en,A1,,"n., v."
any,en,A1,,"det., pron."
anyone,en,A1,,pron.
anything,en,A1,,pron.
apartment,en,A1,,n.
apple,en,A1,,n.
April,en,A1,,n.
area,en,A1,,n.
arm,en,A1,,n.
around,en,A1,,"prep., adv."
arrive,en,A1,,v.
art,en,A1,,n.
article,en,A1,,n.
artist,en,A1,,n.
as,en,A1,,prep.
ask,en,A1,,v.
at,en,A1,,prep.
August,en,A1,,n.
aunt,en,A1,,n.
autumn,en,A1,,n.
away,en,A1,,adv.
baby,en,A1,,n.
back,en,A1,,"n., adv."
bad,en,A1,,adj.
bag,en,A1,,n.
ball,en,A1,,n.
banana,en,A1,,n.
band,en,A1,,n.
bank,en,A1,,(money) n.
bath,en,A1,,n.
bathroom,en,A1,,n.
be,en,A1,,"v., auxiliary v."
beach,en,A1,,n.
beautiful,en,A1,,adj.
because,en,A1,,conj.
become,en,A1,,v.
bed,en,A1,,n.
bedroom,en,A1,,n.
beer,en,A1,,n.
before,en,A1,,prep.
begin,en,A1,,v.
beginning,en,A1,,n.
behind,en,A1,,"prep., adv."
believe,en,A1,,v.
below,en,A1,,"adv., prep."
best,en,A1,,adj.
better,en,A1,,adj.
between,en,A1,,prep.
bicycle,en,A1,,n.
big,en,A1,,adj.
bike,en,A1,,n.
bill,en,A1,,n.
bird,en,A1,,n.
birthday,en,A1,,n.
black,en,A1,,"adj., n."
blog,en,A1,,n.
blonde,en,A1,,adj.
blue,en,A1,,"adj., n."
boat,en,A1,,n.
body,en,A1,,n.
book,en,A1,,n.
boot,en,A1,,n.
bored,en,A1,,adj.
boring,en,A1,,adj.
born,en,A1,,v.
both,en,A1,,det./pron.
bottle,en,A1,,n.
box,en,A1,,n.
boy,en,A1,,n.
boyfriend,en,A1,,n.
bread,en,A1,,n.
break,en,A1,,"v., n."
breakfast,en,A1,,n.
bring,en,A1,,v.
brother,en,A1,,n.
brown,en,A1,,"adj., n."
build,en,A1,,v.
building,en,A1,,n.
bus,en,A1,,n.
business,en,A1,,n.
busy,en,A1,,adj.
but,en,A1,,conj.
butter,en,A1,,n.
buy,en,A1,,v.
by,en,A1,,prep.
bye,en,A1,,exclam.
cafe,en,A1,,n.
cake,en,A1,,n.
call,en,A1,,"v., n."
camera,en,A1,,n.
can1,en,A1,,modal v.
cannot,en,A1,,modal v.
capital,en,A1,,"n., adj."
car,en,A1,,n.
card,en,A1,,n.
career,en,A1,,n.
carrot,en,A1,,n.
carry,en,A1,,v.
cat,en,A1,,n.
CD,en,A1,,n.
cent,en,A1,,n.
centre,en,A1,,n.
century,en,A1,,n.
chair,en,A1,,n.
change,en,A1,,"v., n."
chart,en,A1,,n.
cheap,en,A1,,adj.
check,en,A1,,v.
cheese,en,A1,,n.
chicken,en,A1,,n.
child,en,A1,,n.
chocolate,en,A1,,n.
choose,en,A1,,v.
cinema,en,A1,,n.
city,en,A1,,n.
class,en,A1,,n.
classroom,en,A1,,n.
clean,en,A1,,"adj., v."
climb,en,A1,,v.
clock,en,A1,,n.
close1,en,A1,,v.
clothes,en,A1,,n.
club,en,A1,,n.
coat,en,A1,,n.
coffee,en,A1,,n.
cold,en,A1,,"adj., n."
college,en,A1,,n.
colour,en,A1,,n.
come,en,A1,,v.
common,en,A1,,adj.
company,en,A1,,n.
compare,en,A1,,v.
complete,en,A1,,"adj., v."
computer,en,A1,,n.
concert,en,A1,,n.
conversation,en,A1,,n.
cook,en,A1,,v.
cooking,en,A1,,n.
cool,en,A1,,adj.
correct,en,A1,,"adj., v."
cost,en,A1,,"n., v."
could,en,A1,,modal v.
country,en,A1,,n.
course,en,A1,,n.
cousin,en,A1,,n.
cow,en,A1,,n.
cream,en,A1,,n.
create,en,A1,,v.
culture,en,A1,,n.
cup,en,A1,,n.
customer,en,A1,,n.
cut,en,A1,,v.
dad,en,A1,,n.
dance,en,A1,,"n., v."
dancer,en,A1,,n.
dancing,en,A1,,n.
dangerous,en,A1,,adj.
dark,en,A1,,adj.
date,en,A1,,n.
daughter,en,A1,,n.
day,en,A1,,n.
dear,en,A1,,adj.
December,en,A1,,n.
decide,en,A1,,v.
delicious,en,A1,,adj.
describe,en,A1,,v.
description,en,A1,,n.
design,en,A1,,"n., v."
desk,en,A1,,n.
detail,en,A1,,n.
dialogue,en,A1,,n.
dictionary,en,A1,,n.
die,en,A1,,v.
diet,en,A1,,n.
difference,en,A1,,n.
different,en,A1,,adj.
difficult,en,A1,,adj.
dinner,en,A1,,n.
dirty,en,A1,,adj.
discuss,en,A1,,v.
dish,en,A1,,n.
do1,en,A1,,"v., auxiliary v."
doctor,en,A1,,n.
dog,en,A1,,n.
dollar,en,A1,,n.
door,en,A1,,n.
down,en,A1,,"adv., prep."
downstairs,en,A1,,adv.
draw,en,A1,,v.
dress,en,A1,,"n., v."
drink,en,A1,,"n., v."
drive,en,A1,,v.
driver,en,A1,,n.
during,en,A1,,prep.
DVD,en,A1,,n.
each,en,A1,,det./pron./adv.
ear,en,A1,,n.
early,en,A1,,"adj., adv."
east,en,A1,,"n., adj., adv."
easy,en,A1,,adj.
eat,en,A1,,v.
egg,en,A1,,n.
eight,en,A1,,number
eighteen,en,A1,,number
eighty,en,A1,,number
elephant,en,A1,,n.
eleven,en,A1,,number
else,en,A1,,adv.
email,en,A1,,"n., v."
end,en,A1,,"n., v."
enjoy,en,A1,,v.
enough,en,A1,,"det., pron., adv."
euro,en,A1,,n.
even,en,A1,,adv.
evening,en,A1,,n.
event,en,A1,,n.
ever,en,A1,,adv.
every,en,A1,,det.
everybody,en,A1,,pron.
everyone,en,A1,,pron.
everything,en,A1,,pron.
exam,en,A1,,n.
example,en,A1,,n.
excited,en,A1,,adj.
exciting,en,A1,,adj.
exercise,en,A1,,"n., v."
expensive,en,A1,,adj.
explain,en,A1,,v.
extra,en,A1,,adj.
eye,en,A1,,n.
face,en,A1,,n.
fact,en,A1,,n.
fall,en,A1,,v.
false,en,A1,,adj.
family,en,A1,,"n., adj."
famous,en,A1,,adj.
fantastic,en,A1,,adj.
far,en,A1,,adv.
farm,en,A1,,n.
farmer,en,A1,,n.
fast,en,A1,,"adj., adv."
fat,en,A1,,adj.
father,en,A1,,n.
favourite,en,A1,,"adj., n."
February,en,A1,,n.
feel,en,A1,,v.
feeling,en,A1,,n.
festival,en,A1,,n.
few,en,A1,,"det./adj., pron."
fifteen,en,A1,,number
fifth,en,A1,,number
fifty,en,A1,,number
fill,en,A1,,v.
film,en,A1,,n.
final,en,A1,,adj.
find,en,A1,,v.
fine,en,A1,,adj.
finish,en,A1,,v.
fire,en,A1,,n.
first,en,A1,,"det./number, adv."
fish,en,A1,,n.
five,en,A1,,number
flat,en,A1,,n.
flight,en,A1,,n.
floor,en,A1,,n.
flower,en,A1,,n.
fly,en,A1,,v.
follow,en,A1,,v.
food,en,A1,,n.
foot,en,A1,,n.
football,en,A1,,n.
for,en,A1,,prep.
forget,en,A1,,v.
form,en,A1,,"n., v."
forty,en,A1,,number
four,en,A1,,number
fourteen,en,A1,,number
fourth,en,A1,,number
free,en,A1,,adj.
Friday,en,A1,,n.
friend,en,A1,,n.
friendly,en,A1,,adj.
from,en,A1,,prep.
front,en,A1,,"n., adj."
fruit,en,A1,,n.
full,en,A1,,adj.
fun,en,A1,,n.
funny,en,A1,,adj.
future,en,A1,,n.
game,en,A1,,n.
garden,en,A1,,n.
geography,en,A1,,n.
get,en,A1,,v.
girl,en,A1,,n.
girlfriend,en,A1,,n.
give,en,A1,,v.
glass,en,A1,,n.
go,en,A1,,v.
good,en,A1,,adj.
goodbye,en,A1,,exclam./n.
grandfather,en,A1,,n.
grandmother,en,A1,,n.
grandparent,en,A1,,n.
great,en,A1,,adj.
green,en,A1,,"adj., n."
grey,en,A1,,"adj., n."
group,en,A1,,n.
grow,en,A1,,v.
guess,en,A1,,"v., n."
guitar,en,A1,,n.
gym,en,A1,,n.
hair,en,A1,,n.
half,en,A1,,"n., det./pron."
hand,en,A1,,n.
happen,en,A1,,v.
happy,en,A1,,adj.
hard,en,A1,,"adj., adv."
hat,en,A1,,n.
hate,en,A1,,v.
have,en,A1,,v.
have to,en,A1,,modal v.
he,en,A1,,pron.
head,en,A1,,n.
health,en,A1,,n.
healthy,en,A1,,adj.
hear,en,A1,,v.
hello,en,A1,,exclam./n.
help,en,A1,,"v., n."
her,en,A1,,"pron., det."
here,en,A1,,adv.
hey,en,A1,,exclam.
hi,en,A1,,exclam.
high,en,A1,,adj.
him,en,A1,,pron.
his,en,A1,,det.
history,en,A1,,n.
hobby,en,A1,,n.
holiday,en,A1,,n.
home,en,A1,,"n., adv."
homework,en,A1,,n.
hope,en,A1,,v.
horse,en,A1,,n.
hospital,en,A1,,n.
hot,en,A1,,adj.
hotel,en,A1,,n.
hour,en,A1,,n.
house,en,A1,,n.
how,en,A1,,adv.
however,en,A1,,adv.
hundred,en,A1,,number
hungry,en,A1,,adj.
husband,en,A1,,n.
I,en,A1,,pron.
ice,en,A1,,n.
ice cream,en,A1,,n.
idea,en,A1,,n.
if,en,A1,,conj.
imagine,en,A1,,v.
important,en,A1,,adj.
improve,en,A1,,v.
in,en,A1,,"prep., adv."
include,en,A1,,v.
information,en,A1,,n.
interest,en,A1,,"n., v."
